Name,Product,"Water,,wt%",Spline factor LF,Spline Factor HF,ROI1 lb,ROI1 hb,ROI2 b,ROI2 hb,ROI3 lb,ROI3 hb,ROI4 lb,ROI4 hb,ROI5 lb,ROI5 hb
ad0111.txt,abt,4.23,0.35,0.35,15,150,670,715,825,835,1300,3100,3750,4000
ad0112.txt,abt,11.71,0.35,0.35,15,150,670,715,825,835,1300,3100,3750,4000
ad0108.txt,aoq,7.27,0.35,0.35,15,150,670,740,840,850,1300,3100,3750,4000
ad0107.txt,aoq,1.11,0.35,0.35,15,150,670,740,840,850,1300,3100,3750,4000
ac8041.txt,BI,4.28,0.35,0.35,15,150,640,650,800,810,1250,3100,3750,4000
ac8015.txt,BI,0.55,0.35,0.35,15,150,640,650,800,810,1250,3100,3750,4000
ae0192.txt,B,2.98,0.35,0.35,15,150,635,640,1220,2000,2000,3100,3750,4000
ae0674.txt,B,0.32,0.35,0.35,15,150,635,640,1220,2000,2000,3100,3750,4000
ad0105.txt,DC,5.82,0.35,0.35,15,150,640,740,840,850,1300,3100,3750,4000
ad0087.txt,DC,2.82,0.35,0.35,15,150,640,740,840,850,1300,3100,3750,4000
ad0120.txt,PU,3.71,0.35,0.35,15,150,640,740,800,830,1250,3100,3750,4000
ad0091.txt,PU,1.82,0.35,0.35,15,150,640,740,800,830,1250,3100,3750,4000
ae0441.txt,NAK8,3.04,0.35,0.35,15,150,670,740,840,850,1300,3100,3750,4000
ae0442.txt,DG,1.3,0.35,0.35,15,150,670,740,840,850,1300,3100,3750,4000
ae0443.txt,NAK0,1.79,0.35,0.35,15,150,670,740,840,850,1300,3100,3750,4000
ae0660.txt,DK89,2.83,0.35,0.35,15,150,670,740,840,850,1300,3100,3750,4000
ae0664.txt,DK89,3.41,0.35,0.35,15,150,670,740,840,850,1300,3100,3750,4000
ad0110.txt,To,1.82,0.35,0.35,15,150,670,740,840,850,1300,3100,3750,4000
